DMS_id,n_variants,median_D,p95_D,frac_highD
SPA_STAAU_Tsuboyama_2023_1LP1,1035,0.6534023161175315,1.104229068106526,0.10048309178743961
SPG1_STRSG_Olson_2014,1045,0.6581020802090842,0.9257324262623583,0.10047846889952153
SPG1_STRSG_Wu_2016,76,0.6791968388069481,1.0415780684116522,0.10526315789473684
SPG2_STRSG_Tsuboyama_2023_5UBS,1029,0.6767444778593529,1.086623861807915,0.1000971817298348
SPIKE_SARS2_Starr_2020_binding,3802,0.7323185819157596,1.1437694131296083,0.10021041557075223
SPIKE_SARS2_Starr_2020_expression,3798,0.7340492036478976,1.145270245994083,0.10005265929436545
SPTN1_CHICK_Tsuboyama_2023_1TUD,1051,0.5691718399258976,1.0217774000965267,0.10085632730732635
SQSTM_MOUSE_Tsuboyama_2023_2RRU,707,0.5640338482437335,0.9223032122765463,0.10042432814710042
SR43C_ARATH_Tsuboyama_2023_2N88,889,0.552697605905516,0.9256541827612216,0.10011248593925759
SRBS1_HUMAN_Tsuboyama_2023_2O2W,1211,0.5684182510085677,0.9849692938206955,0.10074318744838975
SRC_HUMAN_Ahler_2019,3372,0.530974258862484,0.7767060676172527,0.10023724792408066
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,3637,0.5315302691671618,0.7725657045326413,0.10008248556502612
SRC_HUMAN_Nguyen_2022,3366,0.5315518878916488,0.7754984370681508,0.10011883541295306
SUMO1_HUMAN_Weile_2017,1700,0.5912562816575024,0.8860786518003578,0.1
SYUA_HUMAN_Newberry_2020,2497,0.6008291058788944,0.9447381606052785,0.1001201441730076
TADBP_HUMAN_Bolognesi_2019,1196,0.6133860402154834,1.023242177510311,0.10033444816053512
TAT_HV1BR_Fernandes_2016,1577,0.6472751183287466,1.059298068275102,0.10019023462270134
TCRG1_MOUSE_Tsuboyama_2023_1E0L,621,0.5078045799064571,0.8625016226688689,0.10144927536231885
THO1_YEAST_Tsuboyama_2023_2WQG,656,0.5563176656934428,0.9592675948957508,0.10060975609756098
TNKS2_HUMAN_Tsuboyama_2023_5JRT,1118,0.5344236745158899,0.9161792658317895,0.1001788908765653
TPK1_HUMAN_Weile_2017,3181,0.575403531471009,0.8792826806509094,0.10028292989625903
TPMT_HUMAN_Matreyek_2018,3648,0.5239174047879172,0.8488683279309853,0.10005482456140351
TPOR_HUMAN_Bridgford_2020,562,0.5838110683733027,0.8594259594979855,0.10142348754448399
TRPC_SACS2_Chan_2017,1519,0.5336795900290696,0.8151905354224546,0.10006583278472679
TRPC_THEMA_Chan_2017,1519,0.517945957906697,0.8035410327550058,0.10006583278472679
UBC9_HUMAN_Weile_2017,2563,0.5958064623212078,0.9103018939075213,0.10027311744049941
UBE4B_HUMAN_Tsuboyama_2023_3L1X,1118,0.5621148377278304,0.9485350079128043,0.1001788908765653
UBE4B_MOUSE_Starita_2013,899,0.6383825742675733,0.9178686794079046,0.10011123470522804
UBR5_HUMAN_Tsuboyama_2023_1I2T,1094,0.578535058782786,0.9464185223791477,0.10054844606946983
VG08_BPP22_Tsuboyama_2023_2GP8,723,0.6033681741847465,0.9780236771236792,0.10096818810511757
VILI_CHICK_Tsuboyama_2023_1YU5,1202,0.6102346602858899,0.9920309904087562,0.10066555740432612
VKOR1_HUMAN_Chiasson_2020_abundance,2695,0.5817992896839533,0.9221117434935523,0.10018552875695733
VKOR1_HUMAN_Chiasson_2020_activity,697,0.5592208379140818,0.9088213107239482,0.10043041606886657
VRPI_BPT7_Tsuboyama_2023_2WNM,1047,0.6652269585616054,1.094478129750836,0.10028653295128939
YAIA_ECOLI_Tsuboyama_2023_2KVT,928,0.6983264555331181,1.0599812093387837,0.10021551724137931
YAP1_HUMAN_Araya_2012,362,0.5767413152816372,0.8340102671111979,0.10220994475138122
YNZC_BACSU_Tsuboyama_2023_2JVD,714,0.5398324620443544,0.9655652480780904,0.10084033613445378
